prices,market_caps,total_volumes,id_coin,date
5788.612,100585460320.22012,5690409836.804629,bitcoin,2018-11-15
5686.541,98829079080.72421,4981978552.514329,bitcoin,2018-11-16
5609.956,97344067023.98213,3236633357.0467114,bitcoin,2018-11-17
5599.192,97299989131.4034,2525819291.4931545,bitcoin,2018-11-18
5638.861,98118875508.37688,2422604400.7507744,bitcoin,2018-11-19
4889.198,85228342224.35999,6126269575.232113,bitcoin,2018-11-20
4450.711,76601948314.49545,6314969584.020993,bitcoin,2018-11-21
4613.448,80360705527.42929,4321511764.357207,bitcoin,2018-11-22
4307.389,75518575145.29533,3055231902.513544,bitcoin,2018-11-23
4376.905,76120308175.56718,3520222575.53617,bitcoin,2018-11-24
3895.837,67756132282.086784,3115187178.442392,bitcoin,2018-11-25
4039.837,70327984591.03267,5226773378.179892,bitcoin,2018-11-26
3811.924,66796155268.6834,4652103083.720623,bitcoin,2018-11-27
3832.925,66811830848.48212,4050028039.1486397,bitcoin,2018-11-28
4267.244,74381953561.03812,4973628807.699461,bitcoin,2018-11-29
4279.476,74400715839.6163,4313265392.487118,bitcoin,2018-11-30
4009.69,69715049461.01839,4007783472.5882053,bitcoin,2018-12-01
4189.574,73075855208.30002,3183894471.4847646,bitcoin,2018-12-02
4124.594,71784475615.70909,3242289555.8219714,bitcoin,2018-12-03
3878.839,67489136960.41757,3128854932.5753694,bitcoin,2018-12-04
3943.693,68592152288.353745,3255899964.55098,bitcoin,2018-12-05
3751.692,65355774058.35723,3020004368.112703,bitcoin,2018-12-06
3466.764,60357918912.004555,3672494312.3177876,bitcoin,2018-12-07
3408.524,59348913269.876625,5243194483.926532,bitcoin,2018-12-08
3424.706,59526617773.597786,3430203804.247037,bitcoin,2018-12-09
3550.546,61832986280.19322,2938443353.811616,bitcoin,2018-12-10
3433.808,59805353928.82642,2614506143.32925,bitcoin,2018-12-11
3378.809,58852767064.15517,2720740076.8003125,bitcoin,2018-12-12
3438.1,59878323499.6965,2552041789.9907007,bitcoin,2018-12-13
3294.636,57318285688.441795,2620531732.8481603,bitcoin,2018-12-14
3216.627,55998515509.38865,2663819604.586118,bitcoin,2018-12-15
3221.976,56171263934.47407,2103029919.7436218,bitcoin,2018-12-16
3217.047,56050483689.82096,1972663570.3920543,bitcoin,2018-12-17
3506.217,61143447505.005135,3421249875.3626423,bitcoin,2018-12-18
3655.775,63720433230.19886,3898845061.80057,bitcoin,2018-12-19
3687.751,64363548271.279076,4721562503.691853,bitcoin,2018-12-20
4065.097,70578857837.00003,6126325232.95458,bitcoin,2018-12-21
3846.227,67118181896.86795,4813606168.926531,bitcoin,2018-12-22
3960.568,68846085704.00443,3568245607.7466927,bitcoin,2018-12-23
3941.618,68680118909.38707,3514437242.642075,bitcoin,2018-12-24
4021.99,70266326465.44417,5022191528.110896,bitcoin,2018-12-25
3759.178,65350104373.41374,4189084247.453542,bitcoin,2018-12-26
3781.613,65972460015.27494,3568561115.8269877,bitcoin,2018-12-27
3587.704,62808667853.73499,3386167814.2749724,bitcoin,2018-12-28
3854.421,67263083067.33795,3561935968.9151506,bitcoin,2018-12-29
3778.194,66838758054.14169,3031003209.033743,bitcoin,2018-12-30
3809.728,66494185030.58888,3109685385.4562902,bitcoin,2018-12-31
3692.532,64422635599.72896,2991427568.3035398,bitcoin,2019-01-01
3794.264,66188448932.14009,2689877851.31483,bitcoin,2019-01-02
3872.172,67643304990.47443,3263469039.3230205,bitcoin,2019-01-03
3776.526,65922288582.921715,2261199754.98875,bitcoin,2019-01-04
3815.268,66650769533.12984,2950054796.0741415,bitcoin,2019-01-05
3787.308,66070973627.255455,2763831883.889694,bitcoin,2019-01-06
4013.52,70084169300.15211,3435733235.508936,bitcoin,2019-01-07
3989.669,69602133073.71902,3360163853.3972144,bitcoin,2019-01-08
3973.591,69418693910.45465,3482430797.632785,bitcoin,2019-01-09
3982.226,69609283899.19995,3230523440.813054,bitcoin,2019-01-10
3623.848,63326376681.34885,4144535969.992497,bitcoin,2019-01-11
3632.849,63121578243.94881,3263342032.794205,bitcoin,2019-01-12
3598.436,62924488425.99548,2456062889.7924027,bitcoin,2019-01-13
3495.832,61050348901.5798,2675674829.818869,bitcoin,2019-01-14
3648.048,63758350560.63251,3101461657.547051,bitcoin,2019-01-15
3567.801,62348810149.49811,2953789408.2270346,bitcoin,2019-01-16
3597.647,62969304894.27945,2753646523.928816,bitcoin,2019-01-17
3620.981,63320099663.395294,3049367561.0957274,bitcoin,2019-01-18
3597.793,62898826371.85565,2649449860.3668847,bitcoin,2019-01-19
3674.587,64269861567.8863,2766880413.283615,bitcoin,2019-01-20
3539.168,61969431896.71978,2940644468.975576,bitcoin,2019-01-21
3531.004,61784404483.04622,2561594564.573847,bitcoin,2019-01-22
3571.267,62482350133.95662,2718371971.9030104,bitcoin,2019-01-23
3555.7,62216525710.040085,2663764215.2983246,bitcoin,2019-01-24
3565.642,62397665388.19675,2514079887.672157,bitcoin,2019-01-25
3564.822,62386316357.47355,2582590473.407218,bitcoin,2019-01-26
3563.615,62374968460.904976,2548165746.089901,bitcoin,2019-01-27
3553.122,62192208387.693,2882787006.773549,bitcoin,2019-01-28
3432.216,60087154448.40433,3445780457.599724,bitcoin,2019-01-29
3413.375,59768195291.00078,4865613085.112716,bitcoin,2019-01-30
